,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,Momentum_6m,Volatility,RSI,MACD,SMA_50,SMA_200,Volume_Price_Ratio,Return_6m
KMX,25.22619,1.8377234,0.075219996,0.01672,312.67,1.762,11406576640,-0.025427038073486563,0.3190926064308044,36.723175206303516,0.2031054787929123,80.4725,78.64552478790283,11352.511152247902,-0.025427038073486563
CCL,13.583872,3.0061393,0.2587,0.04815,309.203,2.669,27565205504,0.10815791079872539,0.4345446273621508,42.71954508908889,0.2600049727934024,23.99610008239746,20.978025040626527,481354.4931418792,0.10815791079872539
CARR,55.62295,4.2330484,0.103590004,0.04147,89.232,1.229,58630225920,-0.14580019078582995,0.29347944929493275,61.36882504300604,0.2735708911418433,66.34740036010743,69.87820404052735,15942.012824488174,-0.14580019078582995
CAT,15.573502,8.416458,0.55327,0.09675,200.118,1.138,164045373440,-0.06258866924004369,0.2720607660488857,54.22072005622999,1.454172130885576,357.26698913574216,359.1630212402344,2239.5758707343493,-0.06258866924004369
CBOE,29.853186,5.272505,0.1851,0.09678,37.37,0.661,22567469056,0.03520477563952462,0.21896598161276573,53.66812968803355,-0.2549342580823519,208.02480041503907,200.23040061950684,1201.2295075851137,0.03520477563952462
CBRE,42.56508,4.7440114,0.113479994,0.03862,63.74,1.42,40228962304,0.1026316078415872,0.28527760860917484,39.99999999999999,0.6869345367577524,137.06600006103517,121.99045001983643,3619.525606894769,0.1026316078415872
CDW,21.119198,9.486559,0.49043998,0.07495,271.148,1.004,22301054976,-0.24777059274560576,0.2887542461088074,44.40367875158588,0.585497681084151,183.2349691772461,201.31653656005858,2133.0203444468416,-0.24777059274560576
COR,38.00496,229.52524,1.98149,0.02861,2689.426,0.503,51976101888,0.18157417281942068,0.18350558750231716,75.64553175179725,0.8636514787677223,251.37436248779298,237.2818495941162,2202.9666422736836,0.18157417281942068
CNC,9.339937,1.1066359,0.12557,0.03701,73.289,0.397,29234354176,-0.22053959929181133,0.3210659957201393,49.54767791715755,0.12920534879460058,60.23990020751953,65.79332534790039,20307.541734314676,-0.22053959929181133
CNP,22.287973,2.1517172,0.10023,0.029649999,196.803,0.904,22985781248,0.2666341068988083,0.20601512991796206,68.72486520530269,0.010171490392766103,33.481272010803224,30.26958547592163,47067.357456143436,0.2666341068988083
